formula,n_atoms,multiplicity,trace_len,p,exact,soft_raw,soft_norm,gap_raw,gap_norm
alt_response,2,2,4,0.25,0.4599609375,0.4554870128631592,0.47096618090125836,-0.00447392463684082,0.011005243401258358
alt_response,2,2,4,0.3,0.4090281999999998,0.40203824639320374,0.42127344940477196,-0.006989953606796051,0.012245249404772174
alt_response,2,2,4,0.35,0.36583600625000023,0.35619983077049255,0.37818566686276156,-0.00963617547950768,0.012349660612761326
alt_response,2,2,4,0.4,0.3283584000000001,0.31629064679145813,0.33985712679996505,-0.012067753208541976,0.011498726799964942
alt_response,2,2,4,0.45,0.29525567500000033,0.2812783122062683,0.3052469583597701,-0.013977362793732018,0.009991283359769787
alt_response,2,2,4,0.5,0.265625,0.25048828125,0.27378252168112077,-0.01513671875,0.008157521681120772
alt_response,2,2,4,0.55,0.2388162937500001,0.2234005331993103,0.2451105114496743,-0.0154157605506898,0.006294217699674198
alt_response,2,2,4,0.6,0.21429760000000006,0.19951365888118744,0.21892157594999462,-0.014783941118812621,0.004623975949994558
alt_response,2,2,4,0.65,0.19155421249999996,0.17825065553188324,0.1948302945937496,-0.01330355696811672,0.0032760820937496327
alt_response,2,2,4,0.7,0.17000580000000004,0.15888214111328125,0.17228951671032505,-0.01112365888671879,0.0022837167103250122
alt_response,2,2,4,0.75,0.14892578125,0.14044785499572754,0.15052215894474713,-0.008477926254272461,0.0015963776947471309
alt_response,2,2,4,0.8,0.1273472,0.12166392803192139,0.12845527892479744,-0.005683271968078607,0.0011080789247974454
alt_response,2,2,4,0.85,0.10393934999999997,0.10081440210342407,0.10464625706271054,-0.0031249478965758998,0.0007069070627105656
alt_response,2,2,4,0.9,0.0768394,0.07563750445842743,0.07718100344623773,-0.001201895541572573,0.0003416034462377232
alt_response,2,2,4,0.95,0.04342326875000004,0.04322903975844383,0.04349572732944477,-0.00019422899155620982,7.245857944472578e-05
