schema_version,formula_id,monitor_id,architecture,construction,backend,workload_mode,timing_boundary,requested_device,effective_device,trace_profile,trace_length,batch_size,repetitions,timing_sample_count,latency_s_per_trace_median,latency_s_per_trace_ci95_low,latency_s_per_trace_ci95_high,latency_s_per_batch_p95,throughput_traces_s_median,throughput_traces_s_ci95_low,throughput_traces_s_ci95_high,compile_s_median,compile_s_ci95_low,compile_s_ci95_high,processed_cell_fraction_median,persistent_host_rss_delta_bytes_median,peak_runtime_host_rss_bytes_median,fallbacks
rq4.v1,atomic_control,symbolic_guarded,symbolic_dfa,canonical_dfa,guarded_edges,capacity,core_native,cuda,cpu,uniform_bernoulli_p0.5,64,1,5,35,5.626692521210728e-05,5.481637322421693e-05,5.6575634145717904e-05,6.081388081891764e-05,17772.43018399065,17675.45366657968,18242.724594523468,0.06510691799849155,0.06363652099753381,0.06679862199962372,1.0,0.0,442773504.0,0
rq4.v1,atomic_control,symbolic_guarded,symbolic_dfa,canonical_dfa,guarded_edges,capacity,core_native,cuda,cpu,uniform_bernoulli_p0.5,64,32,5,35,5.7732784926777054e-05,5.593959765803902e-05,5.87230537121286e-05,0.0018905069706413675,17321.180699464054,17029.08716059262,17876.424605572596,0.06510691799849155,0.06363652099753381,0.06679862199962372,1.0,0.0,442773504.0,0
rq4.v1,atomic_control,symbolic_guarded,symbolic_dfa,canonical_dfa,guarded_edges,capacity,core_native,cuda,cpu,uniform_bernoulli_p0.5,64,128,5,35,5.589963085839145e-05,5.4991657549408046e-05,5.653135058736325e-05,0.007450787912466695,17889.205789806816,17689.299647186126,18184.576435099007,0.06510691799849155,0.06363652099753381,0.06679862199962372,1.0,0.0,442773504.0,0
rq4.v1,atomic_control,symbolic_guarded,symbolic_dfa,canonical_dfa,guarded_edges,capacity,end_to_end,cpu,cpu,uniform_bernoulli_p0.5,64,1,5,35,9.645164499791765e-05,9.455428691532059e-05,9.969217338831157e-05,0.00010380818630450872,10367.889526628494,10030.877710980321,10575.935080506333,0.0636550620001799,0.06285176399978809,0.06958547799877124,1.0,0.0,444710912.0,0
rq4.v1,atomic_control,symbolic_guarded,symbolic_dfa,canonical_dfa,guarded_edges,capacity,end_to_end,cpu,cpu,uniform_bernoulli_p0.5,64,32,5,35,9.541946874631119e-05,9.401448090152876e-05,9.740282117971017e-05,0.0032679260416368073,10480.041579970113,10266.643079618607,10636.659272175368,0.0636550620001799,0.06285176399978809,0.06958547799877124,1.0,0.0,444710912.0,0
rq4.v1,atomic_control,symbolic_guarded,symbolic_dfa,canonical_dfa,guarded_edges,capacity,end_to_end,cpu,cpu,uniform_bernoulli_p0.5,64,128,5,35,9.500275000107195e-05,9.289233203446656e-05,9.714214257883214e-05,0.013022774499677325,10526.011089033915,10294.193369149612,10765.151203534886,0.0636550620001799,0.06285176399978809,0.06958547799877124,1.0,0.0,444710912.0,0
rq4.v1,atomic_control,symbolic_guarded,symbolic_dfa,canonical_dfa,guarded_edges,capacity,end_to_end,cuda,cpu,uniform_bernoulli_p0.5,64,1,5,35,9.683015357170786e-05,9.402489966927725e-05,9.800201281665308e-05,9.98399897336903e-05,10327.361499632932,10203.872055881633,10635.480638824349,0.06717375699736294,0.06510358400191762,0.07819203799954266,1.0,0.0,444837888.0,0
rq4.v1,atomic_control,symbolic_guarded,symbolic_dfa,canonical_dfa,guarded_edges,capacity,end_to_end,cuda,cpu,uniform_bernoulli_p0.5,64,32,5,35,9.586395000269477e-05,9.406241145547433e-05,9.981949826472676e-05,0.0032717510500838718,10431.449986902164,10018.082813319152,10631.239243460848,0.06717375699736294,0.06510358400191762,0.07819203799954266,1.0,0.0,444837888.0,0
rq4.v1,atomic_control,symbolic_guarded,symbolic_dfa,canonical_dfa,guarded_edges,capacity,end_to_end,cuda,cpu,uniform_bernoulli_p0.5,64,128,5,35,9.544611913980816e-05,9.36373632782761e-05,9.961612890663218e-05,0.01324965650010199,10477.115350653638,10038.535034193872,10679.497638438954,0.06717375699736294,0.06510358400191762,0.07819203799954266,1.0,0.0,444837888.0,0
rq4.v1,atomic_control,symbolic_guarded,symbolic_dfa,canonical_dfa,guarded_edges,deployment,end_to_end,cpu,cpu,early_late_boundary,64,1,5,35,4.1048389855701396e-05,4.0451891583141594e-05,4.230767924783627e-05,4.308668824524976e-05,24361.49148639762,23636.37093261604,24720.722835536126,0.06652155999836395,0.06309472100110725,0.06868197299991152,0.015625,0.0,442441728.0,0
