schema_version,formula_id,workload_mode,timing_boundary,requested_device,effective_device,trace_length,batch_size,monitor_id,latency_s_per_trace_median,compile_s_median,persistent_host_rss_delta_bytes_median,pareto_optimal,dominated_by_json
rq4.v1,ijcnn_balanced_n4,capacity,core_native,cpu,cpu,64,128,rulerunner_original_flat,0.00031127979687539664,0.057222101000661496,6438912.0,False,"[""rulerunner_progression_flat""]"
rq4.v1,ijcnn_balanced_n4,capacity,core_native,cpu,cpu,64,128,rulerunner_progression_flat,8.822556445409191e-05,0.054926564000197686,4825088.0,True,[]
rq4.v1,ijcnn_balanced_n4,capacity,core_native,cpu,cpu,64,128,symbolic_guarded,5.9554812499603336e-05,0.1096028789979755,909312.0,True,[]
rq4.v1,ijcnn_balanced_n4,capacity,end_to_end,cpu,cpu,64,1,deepdfa_dense,0.0013117930952181009,0.11551008800233831,5054464.0,False,"[""symbolic_guarded""]"
rq4.v1,ijcnn_balanced_n4,capacity,end_to_end,cpu,cpu,64,1,deepdfa_factored,0.0024014454167324097,0.11677913200037437,5939200.0,False,"[""deepdfa_dense"", ""symbolic_guarded""]"
rq4.v1,ijcnn_balanced_n4,capacity,end_to_end,cpu,cpu,64,1,rulerunner_bounded_flat_default,0.008925332166957864,0.12637278100010008,7159808.0,False,"[""deepdfa_dense"", ""deepdfa_factored"", ""rulerunner_original_flat"", ""rulerunner_progression_flat"", ""symbolic_guarded""]"
rq4.v1,ijcnn_balanced_n4,capacity,end_to_end,cpu,cpu,64,1,rulerunner_bounded_flat_exact,0.009149033333111825,0.15956499399908353,7430144.0,False,"[""deepdfa_dense"", ""deepdfa_factored"", ""rulerunner_bounded_flat_default"", ""rulerunner_original_flat"", ""rulerunner_progression_flat"", ""symbolic_guarded""]"
rq4.v1,ijcnn_balanced_n4,capacity,end_to_end,cpu,cpu,64,1,rulerunner_original_flat,0.008347338166762105,0.05745706000016071,6438912.0,False,"[""rulerunner_progression_flat""]"
rq4.v1,ijcnn_balanced_n4,capacity,end_to_end,cpu,cpu,64,1,rulerunner_progression_flat,0.004395731749961366,0.057194065000658156,4825088.0,True,[]
rq4.v1,ijcnn_balanced_n4,capacity,end_to_end,cpu,cpu,64,1,symbolic_guarded,0.00013665789323151026,0.11414765500012436,974848.0,True,[]
rq4.v1,ijcnn_balanced_n4,capacity,end_to_end,cpu,cpu,64,32,deepdfa_dense,0.000188468565625044,0.11551008800233831,5054464.0,False,"[""symbolic_guarded""]"
rq4.v1,ijcnn_balanced_n4,capacity,end_to_end,cpu,cpu,64,32,deepdfa_factored,0.00022506270312305787,0.11677913200037437,5939200.0,False,"[""deepdfa_dense"", ""symbolic_guarded""]"
rq4.v1,ijcnn_balanced_n4,capacity,end_to_end,cpu,cpu,64,32,rulerunner_bounded_flat_default,0.0017870361874656737,0.12637278100010008,7159808.0,False,"[""deepdfa_dense"", ""deepdfa_factored"", ""rulerunner_original_flat"", ""rulerunner_progression_flat"", ""symbolic_guarded""]"
rq4.v1,ijcnn_balanced_n4,capacity,end_to_end,cpu,cpu,64,32,rulerunner_bounded_flat_exact,0.00166712621876286,0.15956499399908353,7430144.0,False,"[""deepdfa_dense"", ""deepdfa_factored"", ""rulerunner_original_flat"", ""rulerunner_progression_flat"", ""symbolic_guarded""]"
rq4.v1,ijcnn_balanced_n4,capacity,end_to_end,cpu,cpu,64,32,rulerunner_original_flat,0.0007154166562486353,0.05745706000016071,6438912.0,False,"[""rulerunner_progression_flat""]"
